# Program:featureCounts v1.6.2; Command:"/work/02238/strader/lonestar/subread-1.6.2-source/bin/featureCounts" "-T" "5" "-M" "-O" "-a" "/scratch/02238/strader/Spurp/genome/Strongylocentrotus_purpuratus.Spur_3.1.39_pro.gtf" "-t" "gene" "-g" "gene_id" "-o" "MEDIP_proCounts_10July2018.txt" "BB1_BL__cleaned_Sorted_dupsRemoved.bam" "BB1_G__cleaned_Sorted_dupsRemoved.bam" "BB1_PR__cleaned_Sorted_dupsRemoved.bam" "BB2_BL__cleaned_Sorted_dupsRemoved.bam" "BB2_G__cleaned_Sorted_dupsRemoved.bam" "BB2_PR__cleaned_Sorted_dupsRemoved.bam" "BB3_BL__cleaned_Sorted_dupsRemoved.bam" "BB3_G__cleaned_Sorted_dupsRemoved.bam" "BB3_PR__cleaned_Sorted_dupsRemoved.bam" "BR1_BL__cleaned_Sorted_dupsRemoved.bam" "BR1_G__cleaned_Sorted_dupsRemoved.bam" "BR1_PR__cleaned_Sorted_dupsRemoved.bam" "BR2_BL__cleaned_Sorted_dupsRemoved.bam" "BR2_PR__cleaned_Sorted_dupsRemoved.bam" "BR3_BL__cleaned_Sorted_dupsRemoved.bam" "BR3_G__cleaned_Sorted_dupsRemoved.bam" "BR3_PR__cleaned_Sorted_dupsRemoved.bam" "RB1_BL__cleaned_Sorted_dupsRemoved.bam" "RB1_G__cleaned_Sorted_dupsRemoved.bam" "RB1_PR__cleaned_Sorted_dupsRemoved.bam" "RB2_BL__cleaned_Sorted_dupsRemoved.bam" "RB2_G__cleaned_Sorted_dupsRemoved.bam" "RB2_PR__cleaned_Sorted_dupsRemoved.bam" "RB3_BL__cleaned_Sorted_dupsRemoved.bam" "RB3_G__cleaned_Sorted_dupsRemoved.bam" "RB3_PR__cleaned_Sorted_dupsRemoved.bam" "RR1_BL__cleaned_Sorted_dupsRemoved.bam" "RR1_G__cleaned_Sorted_dupsRemoved.bam" "RR1_PR__cleaned_Sorted_dupsRemoved.bam" "RR2_BL__cleaned_Sorted_dupsRemoved.bam" "RR2_G__cleaned_Sorted_dupsRemoved.bam" "RR2_PR__cleaned_Sorted_dupsRemoved.bam" "RR3_BL__cleaned_Sorted_dupsRemoved.bam" "RR3_G__cleaned_Sorted_dupsRemoved.bam" "RR3_PR__cleaned_Sorted_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	BB1_BL__cleaned_Sorted_dupsRemoved.bam	BB1_G__cleaned_Sorted_dupsRemoved.bam	BB1_PR__cleaned_Sorted_dupsRemoved.bam	BB2_BL__cleaned_Sorted_dupsRemoved.bam	BB2_G__cleaned_Sorted_dupsRemoved.bam	BB2_PR__cleaned_Sorted_dupsRemoved.bam	BB3_BL__cleaned_Sorted_dupsRemoved.bam	BB3_G__cleaned_Sorted_dupsRemoved.bam	BB3_PR__cleaned_Sorted_dupsRemoved.bam	BR1_BL__cleaned_Sorted_dupsRemoved.bam	BR1_G__cleaned_Sorted_dupsRemoved.bam	BR1_PR__cleaned_Sorted_dupsRemoved.bam	BR2_BL__cleaned_Sorted_dupsRemoved.bam	BR2_PR__cleaned_Sorted_dupsRemoved.bam	BR3_BL__cleaned_Sorted_dupsRemoved.bam	BR3_G__cleaned_Sorted_dupsRemoved.bam	BR3_PR__cleaned_Sorted_dupsRemoved.bam	RB1_BL__cleaned_Sorted_dupsRemoved.bam	RB1_G__cleaned_Sorted_dupsRemoved.bam	RB1_PR__cleaned_Sorted_dupsRemoved.bam	RB2_BL__cleaned_Sorted_dupsRemoved.bam	RB2_G__cleaned_Sorted_dupsRemoved.bam	RB2_PR__cleaned_Sorted_dupsRemoved.bam	RB3_BL__cleaned_Sorted_dupsRemoved.bam	RB3_G__cleaned_Sorted_dupsRemoved.bam	RB3_PR__cleaned_Sorted_dupsRemoved.bam	RR1_BL__cleaned_Sorted_dupsRemoved.bam	RR1_G__cleaned_Sorted_dupsRemoved.bam	RR1_PR__cleaned_Sorted_dupsRemoved.bam	RR2_BL__cleaned_Sorted_dupsRemoved.bam	RR2_G__cleaned_Sorted_dupsRemoved.bam	RR2_PR__cleaned_Sorted_dupsRemoved.bam	RR3_BL__cleaned_Sorted_dupsRemoved.bam	RR3_G__cleaned_Sorted_dupsRemoved.bam	RR3_PR__cleaned_Sorted_dupsRemoved.bam
SPU_016014	Scaffold5	26970	27970	+	1001	1	1	0	4	1	2	2	4	1	2	2	0	2	0	3	6	1	9	13	10	13	1	7	7	17	13	6	11	9	9	2	5	6	3	8
SPU_011434	Scaffold5	90701	91701	-	1001	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
SPU_007217	Scaffold5	98649	99649	-	1001	0	1	2	1	0	2	0	3	5	1	3	0	0	2	0	0	0	1	1	0	2	1	0	0	2	0	1	1	3	0	0	1	1	1	3
SPU_007216	Scaffold5	103242	104242	-	1001	0	1	0	1	1	0	2	0	4	1	0	1	2	2	1	1	0	2	0	1	1	0	1	1	4	1	0	2	2	0	0	2	1	0	2
SPU_024779	Scaffold5	120443	121443	+	1001	1	9	7	4	4	3	5	4	6	8	2	4	3	4	1	4	5	11	3	6	10	2	7	6	9	7	4	15	14	11	2	4	6	6	10
SPU_025965	Scaffold5	184605	185605	+	1001	1	6	9	3	1	3	3	3	1	5	4	0	5	1	2	10	2	8	4	2	3	0	5	4	2	5	5	4	9	1	1	6	6	0	5
SPU_025964	Scaffold5	184610	185610	+	1001	1	6	9	3	1	3	3	3	1	5	4	0	5	1	2	10	2	8	5	2	3	0	5	4	2	5	5	4	9	1	1	6	6	1	5
SPU_025963	Scaffold5	291890	292890	-	1001	31	72	60	92	65	80	69	53	66	70	86	42	56	38	58	93	54	102	73	84	57	21	100	74	79	36	65	49	51	69	30	36	72	56	49
SPU_025899	Scaffold5	220131	221131	-	1001	17	24	14	15	3	5	15	14	21	36	25	13	13	5	16	15	19	33	20	14	19	3	17	23	16	18	16	12	19	16	3	13	20	12	17
SPU_025966	Scaffold5	255737	256737	+	1001	0	15	13	5	2	1	3	13	8	16	8	2	1	2	5	9	6	10	8	8	5	2	6	8	7	9	4	5	24	6	1	6	4	4	11
SPU_025967	Scaffold5	282818	283818	+	1001	5	8	8	4	0	3	4	9	8	19	9	3	4	4	9	4	8	12	5	9	11	3	8	5	13	8	5	7	11	9	1	4	9	8	14
SPU_021727	Scaffold5	304316	305316	+	1001	5	18	16	10	4	3	6	16	15	17	13	4	3	11	8	8	5	23	13	3	9	2	7	16	5	5	4	5	15	12	1	4	11	2	9
SPU_028830	Scaffold5	357540	358540	-	1001	15	16	7	6	1	7	7	10	16	10	7	4	8	4	4	6	1	4	2	2	15	2	5	2	5	2	2	4	7	11	0	2	6	8	2
SPU_027283	Scaffold5	412849	413849	-	1001	0	2	3	2	0	0	2	1	1	6	1	1	0	4	0	2	1	5	0	2	2	0	2	3	1	1	1	0	1	1	1	1	3	2	2
SPU_015642	Scaffold5	467230	468230	+	1001	16	47	47	32	16	31	28	42	47	60	53	25	45	15	26	38	44	74	38	48	32	8	55	41	45	46	48	35	41	35	20	32	43	21	48
SPU_015643	Scaffold5	519250	520250	-	1001	25	26	28	30	12	23	17	21	25	28	26	21	28	19	17	24	22	52	35	26	36	8	33	28	29	25	17	16	19	23	19	28	35	18	27
SPU_009955	Scaffold5	527769	528769	+	1001	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	1
SPU_021779	Scaffold5	527802	528802	+	1001	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	1
SPU_009954	Scaffold5	566175	567175	-	1001	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	1	3	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0
SPU_027284	Scaffold5	581696	582696	+	1001	0	1	0	0	0	0	0	1	3	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	2	1	2	1	0	1	0	0	1
SPU_016058	Scaffold5	603985	604985	+	1001	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPU_022800	Scaffold5	625134	626134	-	1001	3	7	4	6	1	3	2	4	3	12	5	8	4	0	3	3	0	7	2	7	5	1	0	7	4	5	2	5	4	7	1	4	4	4	8
